6.4193,0.13811,0.82526
6.4004,0.18343,0.9122
6.1556,0.20733,0.88749
6.3779,0.29209,0.84197
7.0933,0.49308,0.8367
7.2827,0.35929,0.66763
6.7842,0.27775,0.89552
7,0.65258,0.78454
6.791,0.36095,0.88126
6.5439,0.70295,0.91124
6.5287,0.39798,0.90753
6.5347,0.4528,0.89869
6.5789,0.60412,0.8105
6.8768,0.80608,0.89418
6.9577,0.70726,0.75136
6.7842,0.45766,0.86055
6.6224,0.44731,0.82885
6.8294,0.46533,0.80238
6.7134,0.84224,0.84316
6.6599,0.5148,0.77716
6.8576,0.80669,0.89091
5.9584,0.35421,0.80333
6.4696,0.78886,0.87526
6.4584,0.64046,0.90355
6.5499,0.83416,0.85959
6.8409,0.4165,0.83737
6.2705,0.27841,0.85807
6.8849,0.28656,0.85616
7.3983,0.38166,0.84554
6.916,0.39243,0.96262
7.1401,0.71321,0.88923
7.4025,0.41065,0.79581
6.9124,0.77119,0.91803
6.707,0.41887,0.84145
6.7265,0.54824,0.91101
6.6469,0.60987,0.86529
6.868,0.81566,0.79372
6.924,0.89598,0.82795
6.6442,0.48822,0.9114
7.0728,0.56158,0.9372
6.7793,0.97351,0.89673
6.9686,0.67354,0.63172
7.0922,0.47275,0.88812
6.6514,1.0363,0.88272
7.3171,0.43844,0.83841
6.6927,0.55091,0.89862
6.5448,0.88181,0.80735
6.8092,0.49822,0.78896
6.8602,1.0439,0.90962
6.5583,0.58317,0.93813
6.5611,0.66426,0.88015
6.6057,0.74516,0.77697
6.6397,0.62091,0.90004
6.839,0.40279,0.885
6.7595,0.8654,0.8898
7.0714,0.55552,0.86886
7.1155,0.78812,0.86857
7.0169,0.67072,0.84523
6.7824,0.51607,0.92655
6.5594,0.52522,0.88691
6.8973,0.51539,0.85266
6.8029,0.84683,0.79598
6.6816,0.5535,0.89459
6.3452,0.59365,0.80976
6.5635,0.68286,0.92962
6.418,0.77644,0.76862
6.5448,0.73226,0.90274
7.1902,0.43565,0.86926
6.356,0.31611,0.88104
6.8045,0.40915,0.85285
7.692,0.48259,0.75311
6.1333,0.26838,0.77953
6.1833,0.20435,0.8558
6.4729,0.44163,0.94266
6.448,0.3316,0.85091
7.3752,0.47632,0.83919
6.4749,0.50411,0.8889
6.4049,0.43524,0.84421
6.9044,0.20846,0.94195
6.9187,0.39173,0.93012
7.0148,0.85496,0.89929
6.4083,0.27519,0.76956
6.5897,0.33361,0.94863
6.6515,0.68289,0.83591
6.9422,0.96806,0.89862
6.7154,0.36844,0.85432
6.8693,0.59229,0.94874
7.2505,0.63989,0.8
7.6157,0.92734,0.8974
7.1933,1.0558,0.93071
6.5513,0.43125,0.90935
6.4887,0.48471,0.91272
7.3618,0.79264,0.80724
6.8127,0.60644,0.85057
7.461,0.71627,0.82285
7.1783,0.84629,0.86377
7.3128,0.5374,0.85579
6.889,0.90439,0.82689
7.3484,0.5589,0.86377
6.8592,0.9268,0.74114
6.5541,0.69882,0.88254
6.5666,0.74804,0.91787
6.8407,0.66542,0.82574
7.2618,0.94952,0.89273
6.344,0.48099,0.86408
6.8566,0.44091,0.89959
7.0957,0.48607,0.85508
6.812,0.98394,0.87932
6.7713,0.71352,0.9073
6.5185,0.69353,0.90011
6.6649,0.63654,0.8808
6.7617,0.96342,0.81639
6.8806,0.61622,0.84437
6.6611,0.60697,0.83301
7.0383,0.68238,0.84846
7.1095,0.62245,0.86233
6.8645,0.63797,0.89531
7.042,1.0058,0.86671
6.9698,0.63741,0.94368
6.6473,0.46829,0.83232
7.043,0.61308,0.90847
6.9615,0.82386,0.89485
6.8695,0.30345,0.8522
7.0941,0.43053,0.89848
7.623,0.4186,0.64273
6.2944,0.39075,0.8586
7.7826,0.37399,0.66664
6.7217,0.29887,0.83964
6.2825,0.44416,0.84639
6.812,0.23475,0.9497
6.9103,0.59206,0.54852
6.7578,0.34055,0.8732
6.7259,0.74448,0.80152
6.6408,0.28665,0.8362
6.8415,0.34158,0.88634
6.5212,0.25923,0.7597
6.4998,0.32237,0.91677
6.6667,0.48259,0.88904
6.8472,0.80621,0.79625
7.0023,0.66352,0.87857
6.5131,0.50003,0.86658
6.7595,0.59895,0.69137
6.477,0.51511,0.8991
7.0242,0.45977,0.75286
6.6471,0.74123,0.90385
6.5624,0.62776,0.93921
6.5876,0.56122,0.9155
6.4528,0.57809,0.90468
6.7411,0.91516,0.84149
7.0543,0.64004,0.85691
6.2844,0.78048,0.88929
6.465,0.49632,0.86511
6.3673,0.54604,0.91141
6.3356,0.52956,0.92173
6.3307,0.40886,0.9116
6.5551,0.25601,0.91459
6.6011,0.56718,0.86453
